Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
RUNE,11.03788590332326,9.23999047826087,28.867068510760404,15.907833512022629,25.67589777777778
S,-37.788835348387096,-91.21195873303168,-90.40012204035874,48.66907097109827,-73.25917432484076
SAND,11.783657700389105,11.408597472727273,9.92686847139588,9.972839784,9.18776424852071
SCR,49.8608675,49.8608675,49.8608675,49.860867500000005,
SEI,90.2601163111111,72.96091286290321,46.17457708243728,21.036779133793104,54.56741661340206
SHIA,68.32793149999999,39.01759957142856,-0.062843,91.12485633333334,-0.062843
SOL,126.2719012195446,148.7223911595898,145.43980907306496,188.0498354491691,154.2464606047029
SPX,73.29305686538461,45.595299104,68.00941992682927,87.06569497999999,35.143019356435644
STG,,25.67976057142857,29.414485,25.67976057142857,20.700128
STRK,-27.35841898148148,-18.723856675324676,-24.711140344262294,-58.804605888888894,-89.6185571111111
STX,11.459622564935064,8.296144802030456,11.636691594936709,11.174189204225351,20.7247915989011
SUI,93.59063299025024,96.11117239156387,114.34583294458915,99.47064062433722,62.667755255747124
SUPER,4.974671714285714,4.632481916666667,3.240665933333333,2.600374125,2.7956294
SUSHI,4.287223406417112,4.738419368421052,4.058820971962617,11.033035142857143,16.576757137931033
TAO,16.358493002018843,21.18346844188862,20.70911045281073,11.57527298092723,9.571591137931033
TIA,31.73578513398058,52.98501931991525,55.2256421076159,37.34539271203156,39.25997268995633
TNSR,7.1206598125613345,6.626926403278689,6.56884283251634,11.497106299270072,4.544207613043478
TON,-0.9366724363636364,-0.9272991176470587,-1.1914915161290323,-1.2367660645161291,-2.010561714285714
TRUMP,-258.5372182858134,33.615409778571426,-101.4616654695935,-419.37407672065285,30.72705313654096
TRX,10.812562704142012,10.812562704142012,5.123499754966887,1.7381066619718308,
TST,8.921088296296297,18.04080415492958,20.413276652694613,15.785646341121499,30.293583157894737
TURBO,113.60692483098592,154.74920502040817,98.43085856906079,72.45620103521127,21.836062023255817
UNI,7.12890078409091,3.360646538461539,5.470248840425532,7.67220665625,3.090745513157895
UNIBOT,81.118114,108.19932316666667,,54.036904833333345,162.36174150000002
USTC,1.7079061836734695,6.725291647058825,4.021453670454545,15.957774740740742,9.262014118181819
USUAL,116.57187723842364,89.52549916527943,141.95829958129647,185.7444344199823,22.804400945945947
VINE,5.100352886916503,5.789574757160647,6.84954174763407,4.821137268282491,8.440260860523038
VIRTUAL,40.90575229020101,52.31884258500669,17.92202634547152,20.34634404446382,53.10382888967136
VVV,26.689986915254238,25.689839047058822,26.453754126506027,26.82940015289256,18.144895
W,2.5025797187765506,1.1442826011396012,2.539258950660793,4.554306866877972,1.8142990835266821
WCT,32.47047370212766,,32.47047370212766,32.47047370212766,
WIF,21.098592981327798,44.738557941828255,36.057079183501685,19.555199090452263,48.00954343951613
WLD,8.317704638206388,23.164612644966443,14.897563807725568,7.273079290490342,7.189563557476232
XAI,262.45229625,134.30300912500002,115.99596810714286,134.30300912500002,6.153722
XRP,-5.865745566490766,6.885049198071867,12.355744576180257,-7.901072673823074,34.19515325129534
YGG,4.374595793103449,36.846291309090915,30.311755900990104,3.813096285714286,49.195624406779665
ZEN,1.1539856923076923,-49.2251436,-26.849838203703705,-63.159796382978726,-82.78810169444445
ZEREBRO,31.611907344660192,32.678980074658256,28.661933660682227,20.435586126077585,22.329509032569362
ZETA,45.651109862068964,15.68311607588076,19.431919258849558,16.507449359066428,21.70297304212454
ZK,1.695214088235294,1.8441839811320753,1.8097854016393442,1.6096087096774192,
ZORA,44.57914736842105,,41.56830390229885,46.042518215083795,20.766112681818182
ZRO,185.1287241005291,493.9931842519084,126.00305383042459,127.83989089130435,163.39826695305467
kBONK,15.38212994666155,52.11011092919075,35.96538405976096,1.1088946230903534,41.66328326633165
kFLOKI,46.83740904411765,47.57466632307692,35.0681183877551,50.17810111111111,25.229774499999998
kNEIRO,1.002129,0.822164,0.58538875,1.627239375,1.2720765
kPEPE,4.268302875428572,21.808161138071068,26.69027408760485,-0.6292666121449557,21.005667141653905
kSHIB,-11.326265235294118,0.2250890434782614,4.312326688524591,-6.24075817948718,-7.2647838695652185
